"weight","ranch","feedType","age"
1280,"HAN","Wind and Rain Storm",20
1425,"TCL","Rangeland",22
1292,"WNC","Wind and Rain Storm",19
1285,"HAN","Steakmaker",22
1364,"TRI","Purina",21
1261,"SCC","Wind and Rain Storm",18
1217,"REX","Wind and Rain Storm",18
1414,"DLL","Wind and Rain Storm",22
1373,"HAN","Rangeland",21
1398,"EVA","Purina",22
1094,"TCL","Rangeland",18
1152,"HAN","Accuration",19
1369,"EVA","Purina",19
1381,"EVA","Purina",20
1243,"REX","Steakmaker",18
1287,"REX","Rangeland",21
1414,"DCC","Wind and Rain Storm",20
1197,"REX","Steakmaker",20
1304,"SHR","Wind and Rain Storm",21
1198,"SHR","Wind and Rain Storm",19
1341,"REX","Wind and Rain Storm",21
1418,"REX","Purina",21
1551,"EVA","Purina",22
1152,"TCL","Rangeland",18
1342,"DCC","Steakmaker",22
1419,"REX","Rangeland",20
1358,"EVA","Purina",19
1225,"SCC","Wind and Rain Storm",18
1345,"REX","Rangeland",21
1482,"HAN","Rangeland",22
1084,"DLL","Rangeland",18
1206,"TRI","Rangeland",18
1181,"DLL","Wind and Rain Storm",19
1201,"TCL","Rangeland",18
1349,"SHR","Steakmaker",22
1297,"SCC","Wind and Rain Storm",18
1241,"REX","Accuration",19
1318,"SCC","Steakmaker",21
1472,"SCC","Accuration",22
1323,"WNC","Purina",19
1298,"TCL","Rangeland",20
1480,"DCC","Wind and Rain Storm",22
1082,"SHR","Steakmaker",19
1198,"DLL","Wind and Rain Storm",18
1197,"DCC","Steakmaker",18
1459,"WNC","Purina",22
1414,"TCL","Rangeland",22
1265,"DLL","Accuration",21
1395,"SHR","Accuration",22
1316,"DLL","Wind and Rain Storm",20
1242,"REX","Wind and Rain Storm",19
1226,"TCL","Rangeland",19
1278,"TCL","Rangeland",19
1272,"HAN","Accuration",19
1265,"TCL","Rangeland",20
1351,"DCC","Accuration",20
1474,"SCC","Steakmaker",22
1311,"SHR","Purina",21
1222,"SHR","Steakmaker",20
1193,"HAN","Purina",18
1253,"SCC","Steakmaker",20
1371,"WNC","Accuration",19
1213,"TRI","Accuration",20
1343,"REX","Purina",21
1185,"WNC","Accuration",18
1169,"SHR","Purina",18
1239,"HAN","Rangeland",19
1441,"SCC","Wind and Rain Storm",21
1409,"TCL","Rangeland",22
1407,"TCL","Rangeland",22
1506,"TRI","Purina",22
1349,"DCC","Purina",21
1459,"DCC","Wind and Rain Storm",21
1250,"EVA","Purina",18
1309,"SCC","Wind and Rain Storm",20
1141,"TRI","Steakmaker",18
1425,"WNC","Wind and Rain Storm",22
1384,"SCC","Accuration",21
1292,"TRI","Purina",19
1099,"HAN","Steakmaker",18
1452,"WNC","Accuration",22
1357,"TCL","Rangeland",22
1091,"TCL","Rangeland",18
1365,"WNC","Rangeland",20
1368,"REX","Wind and Rain Storm",20
1310,"WNC","Purina",20
1448,"WNC","Wind and Rain Storm",20
1288,"SCC","Wind and Rain Storm",19
1376,"SCC","Steakmaker",21
1242,"SHR","Accuration",21
1262,"DCC","Accuration",20
1302,"DLL","Rangeland",20
1412,"WNC","Accuration",21
1464,"TRI","Wind and Rain Storm",22
1482,"EVA","Purina",21
1521,"DCC","Rangeland",22
1287,"HAN","Accuration",20
1364,"EVA","Purina",20
1425,"DCC","Wind and Rain Storm",22
1404,"EVA","Purina",20
1204,"DCC","Accuration",18
1447,"EVA","Purina",21
1052,"HAN","Steakmaker",18
1320,"DCC","Rangeland",20
1350,"DCC","Wind and Rain Storm",19
1238,"TCL","Rangeland",18
1269,"SCC","Wind and Rain Storm",19
1223,"TCL","Rangeland",19
1287,"DCC","Purina",20
1171,"REX","Steakmaker",18
1269,"DCC","Steakmaker",19
1168,"TCL","Rangeland",19
1309,"EVA","Purina",18
1172,"HAN","Steakmaker",20
1308,"WNC","Accuration",19
1260,"DLL","Steakmaker",21
1122,"REX","Steakmaker",18
1287,"SHR","Accuration",20
1271,"SHR","Purina",18
1381,"SCC","Purina",21
1164,"EVA","Purina",18
1303,"TCL","Rangeland",20
1367,"TCL","Rangeland",22
1426,"REX","Purina",22
1410,"EVA","Purina",20
1210,"DCC","Steakmaker",20
1209,"TRI","Steakmaker",18
1327,"SCC","Steakmaker",21
1318,"DLL","Rangeland",20
1136,"DLL","Wind and Rain Storm",19
1388,"DLL","Rangeland",22
1246,"TRI","Rangeland",18
1387,"TCL","Rangeland",22
1364,"TCL","Rangeland",22
1163,"TCL","Rangeland",18
1298,"DCC","Steakmaker",19
1484,"DLL","Wind and Rain Storm",22
1385,"DCC","Accuration",22
1106,"HAN","Accuration",18
1263,"SHR","Purina",18
1257,"SHR","Rangeland",21
1353,"EVA","Purina",20
1166,"SHR","Accuration",19
1555,"EVA","Purina",22
1242,"HAN","Accuration",19
1318,"SHR","Wind and Rain Storm",19
1160,"TRI","Steakmaker",18
1555,"EVA","Purina",22
1275,"EVA","Purina",19
1258,"TRI","Rangeland",19
1312,"DCC","Accuration",21
1419,"TRI","Wind and Rain Storm",21
1324,"TRI","Accuration",22
1200,"DCC","Steakmaker",18
1434,"SCC","Wind and Rain Storm",22
1217,"EVA","Purina",18
1295,"TRI","Steakmaker",19
1371,"HAN","Accuration",22
1159,"TRI","Purina",18
1278,"TRI","Rangeland",19
1290,"HAN","Purina",22
1323,"SCC","Steakmaker",19
1325,"WNC","Accuration",18
1298,"TRI","Wind and Rain Storm",19
1341,"TCL","Rangeland",21
1195,"WNC","Wind and Rain Storm",18
1289,"SHR","Steakmaker",21
1409,"EVA","Purina",20
1342,"TRI","Accuration",22
1434,"TRI","Wind and Rain Storm",22
1231,"REX","Wind and Rain Storm",20
1222,"HAN","Steakmaker",20
1421,"TRI","Accuration",22
1446,"TCL","Rangeland",21
1287,"DLL","Accuration",20
1333,"EVA","Purina",18
1394,"DLL","Purina",22
1168,"DLL","Accuration",18
1222,"SCC","Accuration",19
1430,"HAN","Rangeland",22
1338,"SHR","Steakmaker",22
1319,"SCC","Wind and Rain Storm",19
1325,"WNC","Rangeland",19
1376,"TRI","Rangeland",20
1344,"SCC","Steakmaker",22
1355,"HAN","Rangeland",21
1222,"WNC","Accuration",18
1234,"HAN","Steakmaker",22
1383,"TCL","Rangeland",20
1231,"TCL","Rangeland",19
1342,"EVA","Purina",19
1179,"SHR","Accuration",19
1351,"EVA","Purina",18
1293,"TCL","Rangeland",20
1117,"DCC","Steakmaker",18
1261,"WNC","Steakmaker",18
1487,"DCC","Wind and Rain Storm",22
1250,"HAN","Wind and Rain Storm",19
1124,"DCC","Steakmaker",18
1459,"EVA","Purina",21
1390,"EVA","Purina",21
1449,"REX","Purina",21
1337,"TRI","Purina",19
1392,"SCC","Rangeland",22
1351,"HAN","Accuration",21
1193,"SHR","Steakmaker",21
1135,"SCC","Steakmaker",18
1125,"REX","Steakmaker",18
1444,"DLL","Wind and Rain Storm",22
1234,"REX","Wind and Rain Storm",19
1244,"TRI","Accuration",19
1055,"HAN","Accuration",19
1287,"HAN","Rangeland",20
1318,"TCL","Rangeland",22
1191,"DCC","Accuration",18
1310,"DLL","Steakmaker",21
1450,"WNC","Rangeland",20
1413,"HAN","Purina",22
1280,"DCC","Rangeland",18
1430,"DCC","Accuration",22
1272,"SHR","Accuration",19
1479,"DCC","Accuration",22
1270,"HAN","Purina",20
1379,"SCC","Wind and Rain Storm",19
1496,"TRI","Rangeland",22
1120,"DCC","Steakmaker",18
1332,"TRI","Wind and Rain Storm",20
1357,"TCL","Rangeland",21
1350,"TRI","Purina",21
1495,"EVA","Purina",22
1436,"DLL","Wind and Rain Storm",22
1313,"EVA","Purina",20
1327,"TCL","Rangeland",22
1466,"WNC","Rangeland",22
1219,"HAN","Steakmaker",20
1361,"WNC","Rangeland",19
1153,"SCC","Steakmaker",19
1134,"SHR","Purina",19
1373,"DCC","Rangeland",22
1118,"HAN","Steakmaker",19
1211,"HAN","Steakmaker",18
1242,"SHR","Purina",19
1330,"HAN","Wind and Rain Storm",21
1439,"SCC","Rangeland",22
1239,"REX","Rangeland",18
1391,"DCC","Accuration",21
1174,"SHR","Accuration",19
1392,"WNC","Steakmaker",21
1137,"HAN","Accuration",18
1317,"EVA","Purina",19
1413,"TRI","Steakmaker",22
1208,"DLL","Rangeland",18
1327,"DCC","Rangeland",20
1394,"REX","Wind and Rain Storm",21
1233,"HAN","Purina",20
1196,"DCC","Purina",18
1465,"DCC","Purina",22
1488,"EVA","Purina",20
1352,"DCC","Wind and Rain Storm",20
1472,"EVA","Purina",22
1195,"DCC","Purina",18
1350,"WNC","Rangeland",19
1301,"DCC","Accuration",19
1101,"SHR","Accuration",18
1209,"TRI","Steakmaker",18
1331,"SCC","Steakmaker",20
1335,"DCC","Purina",19
1387,"DCC","Rangeland",21
1284,"REX","Accuration",21
1151,"SCC","Accuration",18
1138,"SHR","Steakmaker",19
1149,"REX","Accuration",18
1354,"TCL","Rangeland",22
1403,"WNC","Accuration",20
1256,"REX","Accuration",20
1241,"DLL","Steakmaker",22
1185,"REX","Rangeland",20
1533,"EVA","Purina",22
1272,"DCC","Steakmaker",22
1233,"REX","Rangeland",20
1345,"TCL","Rangeland",21
1445,"EVA","Purina",22
1202,"WNC","Rangeland",19
1327,"SHR","Accuration",21
1212,"SCC","Steakmaker",19
1251,"DCC","Wind and Rain Storm",18
1230,"DLL","Wind and Rain Storm",18
1304,"SCC","Steakmaker",20
1365,"EVA","Purina",19
1325,"WNC","Accuration",19
1278,"SCC","Rangeland",18
1377,"SCC","Purina",21
1204,"TCL","Rangeland",18
1326,"WNC","Accuration",18
1260,"DCC","Accuration",20
1366,"SHR","Rangeland",22
1019,"REX","Steakmaker",18
1244,"TRI","Accuration",18
1193,"WNC","Steakmaker",19
1523,"EVA","Purina",22
1327,"TCL","Rangeland",20
1421,"TRI","Rangeland",20
1329,"TCL","Rangeland",20
1174,"DLL","Purina",18
1385,"DLL","Wind and Rain Storm",20
1338,"DCC","Steakmaker",21
1310,"DCC","Wind and Rain Storm",20
1271,"SHR","Steakmaker",22
1384,"HAN","Rangeland",22
1400,"DCC","Purina",22
1276,"TCL","Rangeland",18
1262,"HAN","Accuration",20
1410,"TCL","Rangeland",22
1335,"SHR","Accuration",22
1392,"HAN","Accuration",22
1361,"SHR","Accuration",21
1278,"DLL","Purina",20
1367,"DLL","Rangeland",20
1159,"HAN","Wind and Rain Storm",19
1249,"SCC","Steakmaker",20
1245,"WNC","Rangeland",18
1283,"SHR","Accuration",20
1222,"DCC","Rangeland",19
1397,"DCC","Steakmaker",22
1143,"DLL","Wind and Rain Storm",18
1159,"REX","Accuration",19
1349,"SHR","Accuration",22
1346,"TRI","Accuration",21
1312,"HAN","Rangeland",19
1406,"REX","Purina",20
1379,"DCC","Rangeland",20
1371,"DCC","Purina",20
1431,"TRI","Purina",21
1315,"DCC","Rangeland",20
1237,"REX","Rangeland",18
1370,"DLL","Purina",22
1338,"TCL","Rangeland",22
1135,"DLL","Steakmaker",19
1399,"TRI","Wind and Rain Storm",21
1351,"DLL","Wind and Rain Storm",21
1393,"TRI","Purina",21
1345,"EVA","Purina",19
1372,"SCC","Purina",21
1149,"TCL","Rangeland",18
1416,"REX","Rangeland",22
1375,"WNC","Steakmaker",22
1157,"SHR","Accuration",18
1345,"REX","Rangeland",21
1347,"SCC","Rangeland",20
1366,"WNC","Rangeland",21
1476,"SCC","Steakmaker",22
1264,"DLL","Wind and Rain Storm",19
1340,"WNC","Rangeland",20
1314,"DLL","Wind and Rain Storm",19
1344,"SHR","Accuration",22
1453,"TCL","Rangeland",22
1248,"SCC","Steakmaker",18
1383,"REX","Accuration",21
1477,"WNC","Accuration",21
1277,"SHR","Purina",20
1260,"SHR","Wind and Rain Storm",21
1431,"TCL","Rangeland",22
1298,"HAN","Wind and Rain Storm",20
1316,"TRI","Accuration",20
1332,"WNC","Accuration",20
1440,"TRI","Purina",21
1281,"HAN","Accuration",21
1391,"DLL","Rangeland",20
1327,"DCC","Accuration",21
1290,"DCC","Steakmaker",20
1266,"SCC","Wind and Rain Storm",19
1200,"WNC","Steakmaker",19
1358,"TCL","Rangeland",21
1357,"SCC","Accuration",21
1249,"HAN","Rangeland",20
1425,"EVA","Purina",21
1391,"EVA","Purina",20
1290,"WNC","Purina",18
1433,"WNC","Wind and Rain Storm",21
1439,"REX","Wind and Rain Storm",22
1181,"DLL","Purina",18
1323,"WNC","Purina",19
1115,"SHR","Wind and Rain Storm",18
1363,"DLL","Wind and Rain Storm",20
1241,"SCC","Purina",18
1297,"REX","Steakmaker",19
1246,"TRI","Accuration",21
1292,"WNC","Rangeland",19
1168,"DLL","Steakmaker",20
1273,"DLL","Wind and Rain Storm",18
1232,"TRI","Purina",18
1313,"REX","Purina",22
1433,"DCC","Rangeland",21
1165,"HAN","Steakmaker",19
1203,"HAN","Accuration",18
1361,"EVA","Purina",20
1090,"DCC","Steakmaker",18
1390,"WNC","Rangeland",21
1237,"HAN","Accuration",21
1246,"DCC","Steakmaker",21
1142,"REX","Accuration",18
1254,"TCL","Rangeland",19
1420,"WNC","Accuration",21
1310,"TCL","Rangeland",21
1160,"TRI","Steakmaker",19
1174,"SCC","Steakmaker",20
1261,"TRI","Purina",19
1400,"SCC","Rangeland",21
1224,"DLL","Wind and Rain Storm",18
1384,"SCC","Purina",19
1382,"EVA","Purina",21
1391,"DCC","Rangeland",21
1225,"TRI","Purina",18
1198,"TCL","Rangeland",20
1282,"DCC","Wind and Rain Storm",19
1285,"TRI","Wind and Rain Storm",19
1318,"DCC","Wind and Rain Storm",20
1337,"WNC","Accuration",19
1408,"TCL","Rangeland",22
1275,"TCL","Rangeland",19
1279,"TRI","Steakmaker",21
1362,"WNC","Wind and Rain Storm",19
1469,"TCL","Rangeland",22
1335,"REX","Accuration",22
1473,"WNC","Wind and Rain Storm",22
1270,"SHR","Wind and Rain Storm",20
1301,"EVA","Purina",19
1315,"TRI","Steakmaker",22
1199,"EVA","Purina",18
1470,"SCC","Wind and Rain Storm",22
1364,"TRI","Accuration",21
1425,"SCC","Purina",20
1474,"HAN","Wind and Rain Storm",22
1356,"DLL","Purina",21
1206,"DLL","Accuration",19
1337,"WNC","Accuration",20
1299,"WNC","Accuration",19
1368,"REX","Purina",21
1157,"WNC","Accuration",18
1413,"TCL","Rangeland",22
1337,"EVA","Purina",19
1290,"REX","Rangeland",20
1185,"TRI","Steakmaker",19
1238,"REX","Purina",19
1149,"REX","Rangeland",18
1155,"SHR","Rangeland",19
1318,"WNC","Purina",19
1387,"TRI","Accuration",21
1502,"WNC","Rangeland",20
1434,"TRI","Wind and Rain Storm",22
1322,"WNC","Rangeland",20
1325,"EVA","Purina",18
1325,"EVA","Purina",18
1579,"EVA","Purina",22
1329,"EVA","Purina",19
1460,"SCC","Rangeland",22
1267,"HAN","Wind and Rain Storm",19
1340,"TCL","Rangeland",22
1422,"WNC","Wind and Rain Storm",19
1400,"WNC","Accuration",21
1301,"DCC","Steakmaker",19
1231,"REX","Steakmaker",20
1441,"EVA","Purina",21
1246,"REX","Accuration",21
1292,"DLL","Wind and Rain Storm",20
1342,"HAN","Purina",20
1398,"DCC","Wind and Rain Storm",21
1411,"TCL","Rangeland",22
1253,"HAN","Accuration",21
1232,"HAN","Steakmaker",20
1245,"SCC","Wind and Rain Storm",18
1384,"EVA","Purina",21
