state,fuffer,fuffed,year,polity2,democracy,anocracy,autocracy,govtType,durable,irst,milex,milper,energy,tpop,upop,cinc,c_total,polright,civillib,freedom,population,majpower
Botswana,1,0,1984,7,1,0,0,Democracy,18,0,22000,3,738,1048,0,0,3,2,3,2.5,1044280,0
Botswana,0,1,1986,7,1,0,0,Democracy,20,0,22590,4,866,1128,0,0,3,2,3,2.5,1118440,0
Botswana,0,1,1987,8,1,0,0,Democracy,21,0,27260,4,957,1169,107,0,3,2,3,2.5,1156640,0
Botswana,0,1,1988,8,1,0,0,Democracy,22,0,38100,4,998,1210,114,0,3,2,3,2.5,1195610,0
Botswana,0,1,1988,8,1,0,0,Democracy,22,0,38100,4,998,1210,114,0,3,2,3,2.5,1195610,0
Botswana,0,0,1997,9,1,0,0,Democracy,31,0,241000,8,1401,1533,239,0,4,2,2,2,1577900,0
Brazil,1,0,1983,-3,0,1,0,Anocracy,9,14671,1305220,460,156258,126573,58275,0.02,9,3,3,3,129825696,0
Brazil,0,1,1983,-3,0,1,0,Anocracy,9,14671,1305220,460,156258,126573,58275,0.02,9,3,3,3,129825696,0
Bulgaria,0,0,2000,8,1,0,0,Democracy,10,2017,343000,80,26833,8225,2202,0,6,1,3,2,8170000,0
Bulgaria,0,0,2000,8,1,0,0,Democracy,10,2017,343000,80,26833,8225,2202,0,6,1,3,2,8170000,0
Bulgaria,0,1,1996,8,1,0,0,Democracy,6,2457,373000,80,27293,8356,2713,0,6,1,2,1.5,8356000,0
Bulgaria,0,1,1986,-7,0,0,1,Autocracy,39,2965,1940000,190,41002,8958,2518,0,5,7,7,7,8957000,0
Bulgaria,0,0,1987,-7,0,0,1,Autocracy,40,3045,2370000,191,42058,8971,2558,0,5,7,7,7,8971000,0
Bulgaria,1,0,1987,-7,0,0,1,Autocracy,40,3045,2370000,191,42058,8971,2558,0,5,7,7,7,8971000,0
Burkina Faso,1,0,1985,-7,0,0,1,Autocracy,5,0,34060,9,2448,7886,671,0,6,7,5,6,7881000,0
Burkina Faso,1,0,1986,-7,0,0,1,Autocracy,6,0,41240,9,2512,8097,705,0,6,7,6,6.5,8075250,0
Burma,1,0,1980,-8,0,0,1,Autocracy,17,0,202000,179,7645,33637,4556,0,6,7,6,6.5,33706000,0
Burma,1,0,1982,-8,0,0,1,Autocracy,19,0,210000,210,7849,35910,5052,0,6,7,6,6.5,35106512,0
Burma,0,0,1985,-8,0,0,1,Autocracy,22,0,228253,186,8895,38541,5764,0,6,7,7,7,37160000,0
Burma,0,0,1983,-8,0,0,1,Autocracy,20,0,234000,179,8077,36747,3884,0,6,7,6,6.5,35797328,0
Burma,1,0,1984,-8,0,0,1,Autocracy,21,0,245000,181,8639,37614,5538,0,6,7,7,7,36481660,0
Burma,1,0,1988,-6,0,0,1,Autocracy,25,0,286000,186,8191,39839,5995,0,6,7,7,7,39172180,0
Burma,1,0,1987,-8,0,0,1,Autocracy,24,0,291600,186,8418,39073,5871,0,6,7,7,7,38503420,0
Burma,1,0,1989,-6,0,0,1,Autocracy,26,0,332590,200,8406,40601,6122,0,6,7,6,6.5,39842320,0
Burma,1,0,1992,-7,0,0,1,Autocracy,29,15,356150,286,8863,42333,6551,0,6,7,7,7,41955140,0
Burma,1,0,1990,-7,0,0,1,Autocracy,27,25,858000,230,8318,41354,6251,0,6,7,7,7,40517000,0
Burma,1,0,1991,-7,0,0,1,Autocracy,28,25,971000,286,8364,41552,6384,0,6,7,7,7,41220900,0
Burma,1,0,2001,-7,0,0,1,Autocracy,38,25,1088000,344,4401,45609,8432,0.01,6,7,7,7,48320440,0
Burma,1,0,1995,-7,0,0,1,Autocracy,32,25,1880000,322,9972,45106,7116,0.01,6,7,7,7,44352000,0
Burma,0,1,1999,-7,0,0,1,Autocracy,36,25,1995000,345,4418,45059,7963,0.01,6,7,7,7,47181020,0
Burma,0,0,1996,-7,0,0,1,Autocracy,33,25,2012000,322,9964,45922,7319,0.01,6,7,7,7,45137420,0
Burundi,0,0,2000,-1,0,1,0,Anocracy,2,0,42000,40,125,6695,379,0,3,6,6,6,6807000,0
Burundi,0,0,1995,0,0,1,0,Anocracy,0,0,46000,22,1557,5982,300,0,3,6,7,6.5,6156000,0
Burundi,0,1,1997,-5,0,1,0,Anocracy,0,0,85000,35,124,6194,327,0,3,7,7,7,6417850,0
Cambodia,1,0,1994,1,0,1,0,Anocracy,1,0,133000,70,2137,9568,1231,0,4,4,5,4.5,10367140,0
Cambodia,1,0,1997,-7,0,0,1,Autocracy,0,0,144000,60,253,10516,3034,0,4,6,6,6,11236770,0
Cambodia,0,1,1996,1,0,1,0,Anocracy,3,0,185000,60,2246,10273,2246,0,4,6,6,6,10968050,0
Cameroon,1,0,1981,-8,0,0,1,Autocracy,21,0,77136,14,4852,8966,798,0,8,6,6,6,8976540,0
Cameroon,0,0,1981,-8,0,0,1,Autocracy,21,0,77136,14,4852,8966,798,0,8,6,6,6,8976540,0
Cameroon,0,1,1994,-4,0,1,0,Anocracy,2,0,141000,12,5626,12833,1821,0,8,6,5,5.5,12950000,0
Cameroon,0,0,1987,-8,0,0,1,Autocracy,27,0,153290,15,4282,10822,1472,0,8,6,6,6,10632350,0
Cameroon,0,0,1995,-4,0,1,0,Anocracy,3,0,202000,22,5879,13277,1895,0,8,6,5,5.5,13273000,0
Cameroon,0,1,2001,-4,0,1,0,Anocracy,9,0,120000,22,1964,15089,2388,0,8,7,6,6.5,15197470,0
Cameroon,0,0,1998,-4,0,1,0,Anocracy,6,0,149000,15,1979,14305,2136,0,8,7,5,6,14238860,0
Cameroon,0,0,1996,-4,0,1,0,Anocracy,4,0,228000,15,5054,13560,1972,0,8,7,5,6,13595750,0
Canada,0,0,1980,10,1,0,0,Democracy,92,15901,4387240,82,273041,24516,5713,0.01,1,1,1,1,24593000,0
Canada,0,0,1998,10,1,0,0,Democracy,110,15930,7677000,60,339682,30563,11892,0.01,1,1,1,1,30247900,0
Canada,0,0,2001,10,1,0,0,Democracy,113,15276,7745000,57,339736,31151,12291,0.01,1,1,1,1,31081900,0
Canada,1,0,1997,10,1,0,0,Democracy,109,15553,7801000,61,349368,30004,11751,0.01,1,1,1,1,29987200,0
Canada,0,0,1987,10,1,0,0,Democracy,99,14737,7960000,86,256252,26450,8915,0.01,1,1,1,1,26550000,0
Canada,0,0,2000,10,1,0,0,Democracy,112,16594,8320000,59,339718,31147,12163,0.01,1,1,1,1,30769700,0
Canada,0,0,2000,10,1,0,0,Democracy,112,16594,8320000,59,339718,31147,12163,0.01,1,1,1,1,30769700,0
Canada,0,1,2000,10,1,0,0,Democracy,112,16594,8320000,59,339718,31147,12163,0.01,1,1,1,1,30769700,0
Canada,0,0,2000,10,1,0,0,Democracy,112,16594,8320000,59,339718,31147,12163,0.01,1,1,1,1,30769700,0
Canada,0,0,1999,10,1,0,0,Democracy,111,16235,8395000,60,339700,30857,12035,0.01,1,1,1,1,30499200,0
Canada,1,0,1988,10,1,0,0,Democracy,100,15193,8830000,88,276835,26798,9300,0.01,1,1,1,1,26895000,0
Canada,1,0,1995,10,1,0,0,Democracy,107,14415,9126000,70,334696,29354,11371,0.01,1,1,1,1,29354000,0
Canada,1,0,1989,10,1,0,0,Democracy,101,15458,9480000,88,286872,27286,9685,0.01,1,1,1,1,27379000,0
Canada,0,0,1993,10,1,0,0,Democracy,105,14387,9600000,76,313476,28703,10903,0.01,1,1,1,1,28833410,0
Canada,0,0,1994,10,1,0,0,Democracy,106,13897,9695000,75,328761,29036,11135,0.01,1,1,1,1,29111910,0
Canada,0,0,1990,10,1,0,0,Democracy,102,12281,10280000,87,288928,27701,10070,0.01,1,1,1,1,27791000,0
Canada,0,0,1992,10,1,0,0,Democracy,104,13924,10310000,82,289776,28377,10677,0.01,1,1,1,1,28519600,0
Canada,0,1,1991,10,1,0,0,Democracy,103,12987,11420000,86,285038,28031,10455,0.01,1,1,1,1,28171680,0
Central African Republic,0,0,2001,5,0,1,0,Anocracy,8,0,15000,3,128,3616,791,0,5,3,4,3.5,3770820,0
Central African Republic,1,0,2001,5,0,1,0,Anocracy,8,0,15000,3,128,3616,791,0,5,3,4,3.5,3770820,0
Chad,0,0,1994,-4,0,1,0,Anocracy,2,0,29000,40,1280,6214,994,0,6,3,5,4,6463870,0
Chad,0,1,1995,-4,0,1,0,Anocracy,3,0,34000,40,1314,6335,1039,0,6,3,5,4,6707000,0
Chad,0,0,1998,-2,0,1,0,Anocracy,6,0,64000,30,53,7270,1185,0,6,3,5,4,7282870,0
Chad,0,0,2001,-2,0,1,0,Anocracy,9,0,13000,30,53,7654,1357,0,6,6,5,5.5,7916010,0
Chad,0,1,1993,-4,0,1,0,Anocracy,1,0,38300,30,1247,6098,956,0,6,6,6,6,6248250,0
Chad,1,0,1983,0,0,1,0,Anocracy,0,0,52498,4,999,4802,332,0,6,6,7,6.5,4855420,0
Chad,0,1,1983,0,0,1,0,Anocracy,0,0,52498,4,999,4802,332,0,6,6,7,6.5,4855420,0
Chad,0,0,1981,0,0,1,0,Anocracy,0,0,55003,3,948,4581,303,0,6,6,6,6,4592590,0
Chad,0,1,1986,-7,0,0,1,Autocracy,0,0,48660,22,1049,5122,443,0,6,7,7,7,5242970,0
Chile,0,1,1996,8,1,0,0,Democracy,7,1178,2038000,102,25333,14419,8459,0,3,2,2,2,14418800,0
Chile,0,1,1980,-7,0,0,1,Autocracy,7,704,1455820,116,19224,11145,5787,0,3,6,5,5.5,11147000,0
Chile,0,1,1984,-6,0,0,1,Autocracy,11,692,1622342,123,16683,11919,6423,0,3,6,5,5.5,11855970,0
Chile,0,0,1983,-6,0,0,1,Autocracy,10,618,1649556,126,16048,11717,6203,0,3,6,5,5.5,11670910,0
Chile,0,0,1981,-7,0,0,1,Autocracy,8,644,2103330,116,17642,11327,5929,0,3,6,5,5.5,11316970,0
Chile,1,0,1981,-7,0,0,1,Autocracy,8,644,2103330,116,17642,11327,5929,0,3,6,5,5.5,11316970,0
China,1,0,1987,-7,0,0,1,Autocracy,38,56280,5640000,3530,900608,1104193,163229,0.11,15,6,6,6,1084034944,1
China,1,0,1987,-7,0,0,1,Autocracy,38,56280,5640000,3530,900608,1104193,163229,0.11,15,6,6,6,1084034944,1
China,0,0,1987,-7,0,0,1,Autocracy,38,56280,5640000,3530,900608,1104193,163229,0.11,15,6,6,6,1084034944,1
China,0,1,1986,-7,0,0,1,Autocracy,37,52200,5830000,4030,850266,1086773,160817,0.11,15,6,6,6,1066790016,1
China,0,0,1986,-7,0,0,1,Autocracy,37,52200,5830000,4030,850266,1086773,160817,0.11,15,6,6,6,1066790016,1
China,0,0,1986,-7,0,0,1,Autocracy,37,52200,5830000,4030,850266,1086773,160817,0.11,15,6,6,6,1066790016,1
China,0,0,1988,-7,0,0,1,Autocracy,39,59430,5860000,3780,954520,1121980,165686,0.11,15,6,6,6,1101629952,1
China,0,1,1988,-7,0,0,1,Autocracy,39,59430,5860000,3780,954520,1121980,165686,0.11,15,6,6,6,1101629952,1
China,0,1,1985,-7,0,0,1,Autocracy,36,46790,6350000,4100,810441,1070175,158449,0.11,15,6,6,6,1051040000,1
China,0,1,1985,-7,0,0,1,Autocracy,36,46790,6350000,4100,810441,1070175,158449,0.11,15,6,6,6,1051040000,1
China,0,1,1985,-7,0,0,1,Autocracy,36,46790,6350000,4100,810441,1070175,158449,0.11,15,6,6,6,1051040000,1
China,0,1,1984,-7,0,0,1,Autocracy,35,43470,23850000,4100,752704,1054667,156125,0.11,15,6,6,6,1036825024,1
China,0,0,1980,-7,0,0,1,Autocracy,31,37120,28500000,4650,635807,998877,134470,0.12,15,6,5,5.5,981235008,1
China,0,1,1981,-7,0,0,1,Autocracy,32,35600,30500000,4750,628114,1012409,143320,0.12,15,6,6,6,993884992,1
China,0,0,1982,-7,0,0,1,Autocracy,33,37160,33000000,4350,665480,1026029,143760,0.12,15,6,6,6,1008630016,1
China,0,1,1982,-7,0,0,1,Autocracy,33,37160,33000000,4350,665480,1026029,143760,0.12,15,6,6,6,1008630016,1
China,0,0,1983,-7,0,0,1,Autocracy,34,40020,34500000,4100,700017,1040000,153861,0.12,15,6,6,6,1023310016,1
China,0,1,1983,-7,0,0,1,Autocracy,34,40020,34500000,4100,700017,1040000,153861,0.12,15,6,6,6,1023310016,1
China,0,0,1991,-7,0,0,1,Autocracy,42,71000,18790000,3200,1022650,1170038,173264,0.11,18,7,7,7,1150780032,1
China,0,0,1993,-7,0,0,1,Autocracy,44,89539,27400000,3030,1100058,1196167,182470,0.12,18,7,7,7,1178439936,1
China,0,0,1993,-7,0,0,1,Autocracy,44,89539,27400000,3030,1100058,1196167,182470,0.12,18,7,7,7,1178439936,1
China,1,0,1993,-7,0,0,1,Autocracy,44,89539,27400000,3030,1100058,1196167,182470,0.12,18,7,7,7,1178439936,1
China,0,1,1993,-7,0,0,1,Autocracy,44,89539,27400000,3030,1100058,1196167,182470,0.12,18,7,7,7,1178439936,1
China,0,0,1994,-7,0,0,1,Autocracy,45,92613,28945000,2930,1174859,1208278,189368,0.12,18,7,7,7,1191835008,1
China,1,0,1994,-7,0,0,1,Autocracy,45,92613,28945000,2930,1174859,1208278,189368,0.12,18,7,7,7,1191835008,1
China,0,0,1994,-7,0,0,1,Autocracy,45,92613,28945000,2930,1174859,1208278,189368,0.12,18,7,7,7,1191835008,1
China,1,0,1994,-7,0,0,1,Autocracy,45,92613,28945000,2930,1174859,1208278,189368,0.12,18,7,7,7,1191835008,1
China,0,0,1995,-7,0,0,1,Autocracy,46,95360,32929000,2930,1253377,1220224,196072,0.13,18,7,7,7,1204855040,1
China,0,1,1995,-7,0,0,1,Autocracy,46,95360,32929000,2930,1253377,1220224,196072,0.13,18,7,7,7,1204855040,1
