gpa,reading,math,composite,gender,level,highschool,ACTcomposite
2.66,650,490,1140,Male,Senior,Home School,14
2.66,630,510,1140,Male,Senior,Home School,14
2.66,630,520,1150,Male,Junior,Private High School,15
2.66,630,520,1150,Male,Sophomore,Home School,15
2.66,630,520,1150,Male,Sophomore,Home School,15
2.66,640,520,1160,Female,Freshman,Home School,15
2.66,590,570,1160,Female,Junior,Home School,15
2.66,540,630,1170,Male,Junior,Home School,15
2.66,650,520,1170,Male,Junior,Private High School,15
2.66,660,510,1170,Female,Senior,Home School,15
2.66,630,540,1170,Male,Senior,Home School,15
2.66,630,540,1170,Male,Senior,Home School,15
2.66,570,600,1170,Female,Senior,Home School,15
2.66,620,580,1200,Male,Senior,Home School,16
2.66,620,580,1200,Male,Senior,Home School,16
2.66,640,580,1220,Female,Freshman,Home School,17
2.66,710,510,1220,Male,Junior,Home School,17
2.66,660,580,1240,Female,Junior,Home School,17
2.66,660,580,1240,Male,Senior,Home School,17
2.66,690,550,1240,Male,Sophomore,Home School,17
2.66,690,550,1240,Male,Sophomore,Home School,17
2.66,640,610,1250,Male,Junior,Home School,18
2.66,580,670,1250,Male,Junior,Transfer,18
2.66,610,650,1260,Male,Junior,Home School,18
2.66,730,540,1270,Male,Junior,Home School,18
2.66,690,580,1270,Male,Junior,Home School,18
2.66,650,630,1280,Male,Junior,Home School,19
2.66,620,670,1290,Male,Senior,Home School,19
2.66,670,630,1300,Male,Junior,Home School,19
2.66,680,620,1300,Male,Sophomore,Home School,19
2.66,680,620,1300,Male,Sophomore,Home School,19
2.66,630,680,1310,Male,Junior,Home School,20
2.66,760,550,1310,Male,Senior,Home School,20
2.66,660,660,1320,Male,Senior,Home School,20
2.66,750,580,1330,Male,Junior,Home School,21
2.66,720,610,1330,Female,Junior,Home School,21
2.66,660,670,1330,Male,Junior,Home School,21
2.66,670,660,1330,Female,Sophomore,Home School,21
2.66,750,590,1340,Male,Junior,Home School,22
2.66,710,640,1350,Male,Sophomore,Home School,22
2.66,750,620,1370,Female,Junior,Home School,23
2.66,660,710,1370,Male,Sophomore,Home School,23
2.66,770,610,1380,Female,Senior,Home School,23
2.66,740,660,1400,Male,Junior,Home School,24
2.66,790,620,1410,Female,Junior,Home School,24
2.66,780,630,1410,Female,Junior,Home School,24
2.66,730,690,1420,Male,Junior,Home School,25
2.66,770,670,1440,Male,Junior,Home School,26
2.66,770,670,1440,Male,Junior,Home School,26
2.66,800,640,1440,Male,Sophomore,Home School,26
2.66,800,640,1440,Male,Sophomore,Home School,26
2.66,800,650,1450,Male,Junior,Home School,26
2.66,800,650,1450,Male,Junior,Home School,26
2.66,800,670,1470,Male,Senior,Home School,26
2.66,800,760,1560,Female,Junior,Home School,31
2.66,800,760,1560,Male,Sophomore,Home School,31
2.66,800,760,1560,Male,Sophomore,Home School,31
3,570,510,1080,Female,Junior,Home School,12
3,550,560,1110,Male,Junior,Private High School,13
3,610,520,1130,Male,Junior,Private High School,14
3,600,540,1140,Male,Senior,Home School,14
3,540,600,1140,Female,Senior,Home School,14
3,580,570,1150,Male,Freshman,Home School,15
3,580,570,1150,Male,Freshman,Home School,15
3,630,520,1150,Male,Senior,Home School,15
3,630,520,1150,Male,Senior,Home School,15
3,640,520,1160,Female,Freshman,Home School,15
3,540,630,1170,Male,Junior,Home School,15
3,650,530,1180,Male,Senior,Home School,16
3,590,600,1190,Female,Junior,Home School,16
3,650,550,1200,Female,Freshman,Home School,16
3,700,500,1200,Male,Senior,Home School,16
3,570,630,1200,Male,Sophomore,Home School,16
3,640,580,1220,Female,Freshman,Home School,17
3,710,510,1220,Male,Junior,Home School,17
3,670,550,1220,Male,Senior,Home School,17
3,690,540,1230,Female,Junior,Home School,17
3,690,540,1230,Female,Junior,Home School,17
3,680,550,1230,Female,Junior,Home School,17
3,630,600,1230,Male,Junior,Home School,17
3,650,580,1230,Male,Senior,Home School,17
3,650,580,1230,Female,Senior,Home School,17
3,640,610,1250,Male,Junior,Home School,18
3,640,610,1250,Male,Junior,Private High School,18
3,690,570,1260,Female,Junior,Home School,18
3,680,580,1260,Male,Junior,Home School,18
3,670,590,1260,Female,Junior,Home School,18
3,610,650,1260,Male,Junior,Home School,18
3,720,540,1260,Male,Junior,Private High School,18
3,650,610,1260,Male,Senior,Home School,18
3,640,620,1260,Female,Senior,Transfer,18
3,660,610,1270,Female,Freshman,Home School,18
3,690,580,1270,Male,Junior,Home School,18
3,690,580,1270,Male,Junior,Home School,18
3,660,610,1270,Female,Junior,Home School,18
3,660,610,1270,Female,Junior,Home School,19
3,660,610,1270,Male,Junior,Home School,19
3,750,520,1270,Female,Junior,Private High School,19
3,640,630,1270,Male,Sophomore,Home School,19
3,650,630,1280,Male,Junior,Home School,19
3,680,610,1290,Male,Freshman,Home School,19
3,680,610,1290,Male,Freshman,Home School,19
3,730,560,1290,Female,Junior,Home School,19
3,690,600,1290,Female,Senior,Home School,19
3,690,600,1290,Female,Senior,Home School,19
3,680,630,1310,Female,Junior,Home School,20
3,680,630,1310,Female,Junior,Home School,20
3,650,660,1310,Female,Senior,Home School,20
3,730,590,1320,Male,Junior,Home School,20
3,730,590,1320,Female,Junior,Home School,20
3,690,630,1320,Female,Junior,Private High School,21
3,710,610,1320,Male,Senior,Transfer,21
3,710,610,1320,Male,Senior,Transfer,21
3,700,620,1320,Male,Senior,Transfer,21
3,700,620,1320,Male,Senior,Transfer,21
3,630,700,1330,Male,Junior,Private High School,21
3,660,680,1340,Male,Junior,Private High School,22
3,690,660,1350,Male,Senior,Home School,22
3,710,640,1350,Male,Sophomore,Home School,22
3,630,720,1350,Male,Sophomore,Home School,22
3,690,670,1360,Male,Junior,Home School,22
3,690,680,1370,Male,Senior,Home School,23
3,730,640,1370,Male,Sophomore,Home School,23
3,770,610,1380,Female,Senior,Home School,23
3,690,690,1380,Male,Sophomore,Home School,23
3,690,690,1380,Male,Sophomore,Home School,23
3,780,600,1380,Female,Sophomore,Private High School,23
3,730,650,1380,Female,Sophomore,Private High School,23
3,760,630,1390,Male,Junior,Home School,24
3,720,680,1400,Male,Junior,Home School,24
3,800,600,1400,Male,Senior,Home School,24
3,710,690,1400,Female,Senior,Home School,24
3,710,690,1400,Female,Senior,Home School,24
3,690,710,1400,Male,Senior,Home School,24
3,710,700,1410,Male,Junior,Home School,24
3,700,710,1410,Male,Junior,Home School,24
3,700,710,1410,Male,Junior,Home School,24
3,740,670,1410,Female,Sophomore,Private High School,24
3,730,700,1430,Female,Junior,Home School,25
3,800,670,1470,Male,Senior,Home School,26
3,750,730,1480,Male,Junior,Home School,27
3,800,730,1530,Male,Junior,Home School,29
3,800,740,1540,Male,Junior,Home School,30
3,750,790,1540,Male,Senior,Public High School,30
3,750,790,1540,Male,Senior,Public High School,30
3.33,580,520,1100,Female,Senior,Home School,12
3.33,520,580,1100,Female,Sophomore,Home School,12
3.33,550,560,1110,Male,Junior,Private High School,13
3.33,570,540,1110,Male,Senior,Public High School,13
3.33,570,550,1120,Female,Junior,Private High School,13
3.33,630,510,1140,Male,Senior,Home School,14
3.33,600,540,1140,Male,Senior,Home School,14
3.33,630,530,1160,Male,Senior,Public High School,15
3.33,630,540,1170,Male,Freshman,Home School,16
3.33,570,600,1170,Female,Senior,Home School,16
3.33,630,550,1180,Female,Senior,Home School,16
3.33,650,550,1200,Female,Freshman,Home School,16
3.33,620,590,1210,Male,Freshman,Home School,16
3.33,630,580,1210,Male,Junior,Home School,16
3.33,580,630,1210,Male,Sophomore,Home School,16
3.33,580,630,1210,Male,Sophomore,Home School,16
3.33,650,570,1220,Male,Junior,Home School,17
3.33,630,600,1230,Male,Junior,Home School,17
3.33,660,580,1240,Female,Junior,Home School,17
3.33,610,630,1240,Female,Junior,Home School,17
3.33,650,590,1240,Male,Sophomore,Home School,17
3.33,660,590,1250,Female,Junior,Home School,18
3.33,650,600,1250,Female,Junior,Home School,18
3.33,670,590,1260,Female,Junior,Home School,18
3.33,640,620,1260,Female,Senior,Transfer,18
3.33,670,590,1260,Male,Sophomore,Home School,18
3.33,670,600,1270,Male,Freshman,Home School,19
3.33,730,540,1270,Male,Junior,Home School,19
3.33,660,610,1270,Male,Junior,Home School,19
3.33,640,630,1270,Male,Sophomore,Home School,19
3.33,690,590,1280,Female,Junior,Home School,19
3.33,660,620,1280,Female,Junior,Home School,19
3.33,630,650,1280,Male,Sophomore,Home School,19
3.33,730,560,1290,Female,Junior,Home School,19
3.33,680,610,1290,Female,Sophomore,Home School,19
3.33,690,610,1300,Female,Junior,Private High School,20
3.33,710,590,1300,Female,Sophomore,Home School,20
3.33,760,550,1310,Female,Junior,Home School,20
3.33,700,610,1310,Female,Junior,Private High School,20
3.33,760,560,1320,Male,Junior,Home School,21
3.33,730,590,1320,Female,Junior,Home School,21
3.33,690,630,1320,Male,Junior,Home School,21
3.33,690,630,1320,Female,Junior,Private High School,21
3.33,630,690,1320,Male,Sophomore,Home School,21
3.33,630,690,1320,Male,Sophomore,Home School,21
3.33,660,670,1330,Female,Junior,Home School,21
3.33,660,670,1330,Female,Junior,Home School,21
3.33,710,620,1330,Male,Senior,Home School,21
3.33,700,630,1330,Female,Senior,Private High School,21
3.33,770,570,1340,Female,Junior,Home School,22
3.33,670,670,1340,Male,Junior,Private High School,22
3.33,670,670,1340,Male,Junior,Private High School,22
3.33,740,600,1340,Female,Senior,Private High School,22
3.33,740,600,1340,Female,Senior,Private High School,22
3.33,670,670,1340,Male,Sophomore,Home School,22
3.33,650,700,1350,Male,Junior,Private High School,22
3.33,650,700,1350,Male,Junior,Private High School,22
3.33,730,630,1360,Female,Junior,Private High School,22
3.33,720,640,1360,Male,Senior,Home School,22
3.33,690,670,1360,Male,Senior,Public High School,22
3.33,690,670,1360,Male,Senior,Public High School,22
3.33,700,660,1360,Male,Sophomore,Home School,22
3.33,710,660,1370,Female,Junior,Private High School,23
3.33,750,630,1380,Male,Sophomore,Home School,23
3.33,750,630,1380,Male,Sophomore,Home School,23
3.33,710,670,1380,Female,Sophomore,Home School,23
3.33,740,660,1400,Male,Senior,Home School,24
3.33,750,650,1400,Male,Sophomore,Home School,24
3.33,790,620,1410,Female,Junior,Home School,24
3.33,780,630,1410,Female,Junior,Home School,24
3.33,710,700,1410,Male,Junior,Home School,24
3.33,690,720,1410,Male,Junior,Public High School,24
3.33,740,670,1410,Male,Senior,Home School,24
3.33,760,650,1410,Male,Sophomore,Private High School,24
3.33,730,700,1430,Female,Junior,Home School,25
3.33,690,740,1430,Female,Junior,Home School,25
3.33,690,740,1430,Female,Junior,Home School,25
3.33,770,670,1440,Male,Sophomore,Home School,26
3.33,800,650,1450,Male,Senior,Home School,26
3.33,720,740,1460,Female,Senior,Private High School,26
3.33,780,690,1470,Female,Junior,Home School,27
3.33,750,730,1480,Male,Junior,Home School,27
3.33,760,730,1490,Male,Junior,Home School,27
3.33,800,690,1490,Male,Sophomore,Home School,27
3.33,800,690,1490,Male,Sophomore,Home School,27
3.33,780,710,1490,Male,Sophomore,Home School,27
3.33,780,720,1500,Female,Junior,Private High School,28
3.33,720,780,1500,Male,Senior,Home School,28
3.33,800,730,1530,Male,Junior,Home School,29
3.33,800,740,1540,Male,Junior,Home School,30
3.33,800,760,1560,Female,Junior,Home School,31
3.66,670,440,1110,Female,Senior,Home School,13
3.66,570,540,1110,Male,Senior,Public High School,13
3.66,630,510,1140,Male,Senior,Public High School,15
3.66,630,530,1160,Male,Senior,Public High School,15
3.66,630,550,1180,Female,Senior,Home School,16
3.66,670,550,1220,Male,Senior,Home School,17
3.66,680,550,1230,Female,Junior,Home School,17
3.66,720,520,1240,Female,Junior,Home School,17
3.66,660,580,1240,Male,Junior,Home School,17
3.66,690,560,1250,Male,Junior,Home School,18
3.66,660,590,1250,Female,Junior,Home School,18
3.66,650,600,1250,Female,Junior,Home School,18
3.66,640,610,1250,Male,Junior,Private High School,18
3.66,690,570,1260,Female,Junior,Home School,18
3.66,650,610,1260,Male,Senior,Home School,18
3.66,640,620,1260,Male,Sophomore,Private High School,18
3.66,760,510,1270,Male,Junior,Home School,19
3.66,690,580,1270,Male,Junior,Home School,19
3.66,690,590,1280,Female,Junior,Home School,19
3.66,660,620,1280,Female,Junior,Home School,19
3.66,670,620,1290,Male,Sophomore,Private High School,19
3.66,640,660,1300,Male,Senior,Home School,20
3.66,640,660,1300,Male,Senior,Home School,20
3.66,710,590,1300,Female,Sophomore,Home School,20
3.66,620,680,1300,Male,Sophomore,Home School,20
3.66,660,640,1300,Male,Sophomore,Private High School,20
3.66,760,550,1310,Female,Junior,Home School,20
3.66,690,620,1310,Male,Junior,Home School,20
3.66,760,560,1320,Male,Junior,Home School,21
3.66,730,590,1320,Male,Junior,Home School,21
3.66,690,630,1320,Female,Junior,Private High School,21
3.66,730,600,1330,Male,Junior,Home School,21
3.66,730,600,1330,Male,Junior,Home School,21
3.66,700,630,1330,Female,Junior,Home School,21
3.66,700,630,1330,Male,Junior,Home School,21
3.66,700,630,1330,Female,Junior,Home School,21
3.66,690,640,1330,Male,Junior,Home School,21
3.66,680,650,1330,Male,Junior,Home School,21
3.66,630,700,1330,Male,Junior,Private High School,21
3.66,750,580,1330,Male,Senior,Home School,21
3.66,710,620,1330,Male,Senior,Home School,21
3.66,700,630,1330,Female,Senior,Private High School,21
3.66,670,660,1330,Female,Sophomore,Home School,21
3.66,770,570,1340,Female,Junior,Home School,22
3.66,660,680,1340,Male,Junior,Private High School,22
3.66,690,650,1340,Male,Sophomore,Home School,22
3.66,700,650,1350,Male,Sophomore,Home School,22
3.66,710,650,1360,Male,Junior,Home School,22
3.66,690,670,1360,Male,Junior,Home School,23
3.66,720,640,1360,Male,Senior,Home School,23
3.66,640,720,1360,Male,Sophomore,Home School,23
3.66,700,680,1380,Male,Junior,Transfer,23
3.66,780,600,1380,Female,Sophomore,Private High School,23
3.66,730,650,1380,Female,Sophomore,Private High School,23
3.66,800,590,1390,Male,Junior,Home School,24
3.66,800,590,1390,Male,Junior,Home School,24
3.66,720,680,1400,Male,Junior,Home School,24
3.66,800,600,1400,Male,Senior,Home School,24
3.66,750,650,1400,Female,Senior,Home School,24
3.66,740,660,1400,Male,Senior,Home School,24
3.66,690,720,1410,Male,Junior,Public High School,24
3.66,740,670,1410,Male,Senior,Home School,24
3.66,730,680,1410,Female,Senior,Home School,25
3.66,740,670,1410,Female,Sophomore,Private High School,25
3.66,760,660,1420,Male,Junior,Home School,25
3.66,800,620,1420,Female,Senior,Home School,25
3.66,790,640,1430,Male,Junior,Home School,25
3.66,750,680,1430,Female,Junior,Home School,25
3.66,790,640,1430,Female,Senior,Home School,25
3.66,760,680,1440,Male,Junior,Home School,26
3.66,730,710,1440,Male,Junior,Home School,26
3.66,800,650,1450,Male,Senior,Home School,26
3.66,800,660,1460,Female,Junior,Home School,26
3.66,800,660,1460,Female,Junior,Home School,26
3.66,790,670,1460,Female,Senior,Home School,26
3.66,720,740,1460,Female,Senior,Private High School,26
3.66,800,660,1460,Male,Sophomore,Home School,26
3.66,780,690,1470,Female,Junior,Home School,27
3.66,770,700,1470,Male,Junior,Transfer,27
3.66,770,710,1480,Male,Junior,Transfer,27
3.66,790,700,1490,Female,Junior,Home School,27
3.66,760,730,1490,Male,Junior,Home School,28
3.66,780,720,1500,Female,Junior,Private High School,28
3.66,790,710,1500,Male,Senior,Home School,28
3.66,780,780,1560,Male,Junior,Home School,31
3.87,600,480,1080,Female,Junior,Home School,12
3.87,600,480,1080,Female,Junior,Home School,12
3.87,570,550,1120,Female,Junior,Private High School,13
3.87,610,520,1130,Male,Junior,Private High School,14
3.87,630,540,1170,Male,Freshman,Home School,16
3.87,700,500,1200,Male,Senior,Home School,16
3.87,570,630,1200,Male,Sophomore,Home School,16
3.87,620,590,1210,Male,Freshman,Home School,17
3.87,630,580,1210,Male,Senior,Home School,17
3.87,650,570,1220,Male,Junior,Home School,17
3.87,650,580,1230,Male,Senior,Home School,17
3.87,660,580,1240,Male,Junior,Home School,17
3.87,610,630,1240,Female,Junior,Home School,17
3.87,650,590,1240,Male,Sophomore,Home School,18
3.87,720,540,1260,Male,Junior,Private High School,18
3.87,670,590,1260,Male,Sophomore,Home School,18
3.87,640,620,1260,Male,Sophomore,Private High School,18
3.87,670,600,1270,Male,Freshman,Home School,19
3.87,760,510,1270,Male,Junior,Home School,19
3.87,630,650,1280,Male,Sophomore,Home School,19
3.87,670,620,1290,Female,Senior,Private High School,19
3.87,670,620,1290,Female,Senior,Private High School,19
3.87,670,620,1290,Male,Sophomore,Private High School,19
3.87,700,600,1300,Male,Junior,Home School,20
3.87,700,600,1300,Male,Junior,Home School,20
3.87,690,610,1300,Female,Junior,Private High School,20
3.87,660,640,1300,Female,Senior,Home School,20
3.87,660,640,1300,Female,Senior,Home School,20
3.87,670,630,1300,Female,Senior,Private High School,20
3.87,670,630,1300,Female,Senior,Private High School,20
3.87,620,680,1300,Male,Sophomore,Home School,20
3.87,660,640,1300,Male,Sophomore,Private High School,20
3.87,690,620,1310,Male,Junior,Home School,20
3.87,700,610,1310,Female,Junior,Private High School,20
3.87,650,660,1310,Female,Senior,Home School,20
3.87,640,680,1320,Male,Junior,Home School,21
3.87,640,680,1320,Male,Junior,Home School,21
3.87,690,630,1320,Female,Junior,Private High School,21
3.87,710,610,1320,Male,Senior,Home School,21
3.87,710,610,1320,Male,Senior,Home School,21
3.87,690,630,1320,Male,Senior,Home School,21
3.87,700,630,1330,Male,Junior,Home School,21
3.87,690,640,1330,Male,Junior,Home School,21
3.87,680,650,1330,Male,Junior,Home School,22
3.87,660,670,1330,Male,Junior,Home School,22
3.87,710,630,1340,Male,Junior,Home School,22
3.87,710,630,1340,Male,Junior,Home School,22
3.87,690,650,1340,Male,Sophomore,Home School,22
3.87,670,670,1340,Male,Sophomore,Home School,22
3.87,650,690,1340,Male,Sophomore,Home School,22
3.87,650,690,1340,Male,Sophomore,Home School,22
3.87,700,650,1350,Female,Junior,Home School,22
3.87,700,650,1350,Female,Junior,Home School,22
3.87,730,620,1350,Female,Senior,Home School,22
3.87,730,620,1350,Female,Senior,Home School,22
3.87,700,650,1350,Male,Sophomore,Home School,22
3.87,710,650,1360,Male,Junior,Home School,23
3.87,730,630,1360,Female,Junior,Private High School,23
3.87,680,680,1360,Female,Senior,Home School,23
3.87,680,680,1360,Female,Senior,Home School,23
3.87,700,660,1360,Male,Sophomore,Home School,23
3.87,640,720,1360,Male,Sophomore,Home School,23
3.87,710,660,1370,Female,Junior,Private High School,23
3.87,690,680,1370,Male,Senior,Home School,23
3.87,760,620,1380,Male,Freshman,Home School,23
3.87,760,620,1380,Male,Freshman,Home School,23
3.87,700,680,1380,Male,Junior,Transfer,23
3.87,710,670,1380,Male,Senior,Home School,23
3.87,710,670,1380,Male,Senior,Home School,23
3.87,710,670,1380,Female,Sophomore,Home School,23
3.87,760,630,1390,Male,Junior,Home School,24
3.87,750,650,1400,Female,Junior,Home School,24
3.87,750,650,1400,Female,Junior,Home School,24
3.87,750,650,1400,Female,Senior,Home School,24
3.87,690,710,1400,Male,Senior,Home School,24
3.87,680,720,1400,Female,Senior,Home School,24
3.87,680,720,1400,Female,Senior,Home School,24
3.87,760,650,1410,Male,Freshman,Home School,25
3.87,760,650,1410,Male,Freshman,Home School,25
3.87,760,650,1410,Male,Junior,Home School,25
3.87,760,650,1410,Male,Junior,Home School,25
3.87,730,680,1410,Female,Senior,Home School,25
3.87,700,710,1410,Male,Sophomore,Home School,25
3.87,700,710,1410,Male,Sophomore,Home School,25
3.87,760,650,1410,Male,Sophomore,Private High School,25
3.87,760,660,1420,Male,Junior,Home School,25
3.87,740,680,1420,Male,Junior,Home School,25
3.87,740,680,1420,Male,Junior,Home School,25
3.87,800,620,1420,Female,Senior,Home School,25
3.87,770,650,1420,Male,Senior,Home School,25
3.87,770,650,1420,Male,Senior,Home School,25
3.87,750,670,1420,Female,Senior,Home School,25
3.87,750,670,1420,Female,Senior,Home School,25
