"REGION","LOCALITE","GBAGBO","OUATTARA","VALID","REJECTED","TOTAL","REGISTERED","UNREGISTERED"
"District d'Abidjan","Treichville",15686,24008,39694,373,40067,47780,794
"District d'Abidjan","Yopougon",218346,155026,373372,3777,377149,454596,3879
"District d'Abidjan","Anyama",31962,27395,59357,710,60067,68741,606
"District d'Abidjan","Bingerville",18400,9846,28246,358,28604,34407,453
"District d'Abidjan","Songon",14820,5695,20515,385,20900,26224,266
"Lagunes (Hors District d'Abidjan)","Alepe",27852,2844,30696,554,31250,35392,390
"Lagunes (Hors District d'Abidjan)","Dabou",34620,12673,47293,782,48075,58873,588
"Lagunes (Hors District d'Abidjan)","Grand-Lahou",10135,8951,19086,500,19586,25914,371
"Lagunes (Hors District d'Abidjan)","Jacqueville",12087,2363,14450,175,14625,17265,246
"Lagunes (Hors District d'Abidjan)","Sikensi",18327,3940,22267,541,22808,27779,246
"Lagunes (Hors District d'Abidjan)","Tiassale",21142,21129,42271,1447,43718,57892,708
"Dix-Huit Montagnes","Bangolo",31571,5076,36647,741,37388,40589,433
"Dix-Huit Montagnes","Biankouma",12971,15566,28537,1461,29998,38028,0
"Dix-Huit Montagnes","Danane",16398,35480,51878,2296,54174,73574,0
"Dix-Huit Montagnes","Kouibly",10519,2186,12705,404,13109,15348,236
"Dix-Huit Montagnes","Man",45208,34897,80105,3039,83144,105271,1207
"Dix-Huit Montagnes","Zouan-Hounien",4974,22815,27789,1845,29634,38069,392
"Moyen-Cavally","Blolequin",12839,3287,16126,417,16543,18925,414
"Moyen-Cavally","Duekoue",26576,23665,50241,1496,51737,66485,781
"Moyen-Cavally","Guiglo",19730,13300,33030,1073,34103,45147,661
"Moyen-Cavally","Toulepleu",13001,704,13705,102,13807,14601,294
"Moyen-Comoe","Abengourou",32459,23930,56389,2050,58439,74147,1067
"Moyen-Comoe","Aginbilekrou",9611,11211,20822,963,21785,28460,402
"N'zi-Comoe","Bocanda",3187,25675,28862,892,29754,41519,511
"N'zi-Comoe","Bongouanou",46732,22865,69597,2758,72355,92143,733
"N'zi-Comoe","Daoukro",5504,29160,34664,806,35470,47805,496
"N'zi-Comoe","Dimbokro",5136,19250,24386,551,24937,34361,430
"N'zi-Comoe","M'Bahiakro",5022,15491,20513,541,21054,27978,386
"N'zi-Comoe","Prikro",3875,7870,11745,733,12478,16990,187
"Savanes","Boundiali",5880,51140,57020,2020,59040,67244,803
"Savanes","Ferkessedougou",2774,84153,86927,735,87662,93386,1142
"Savanes","Korhogo",11135,154890,166025,2370,168395,195134,2155
"Savanes","Tengrela",1414,17347,18761,465,19226,23635,281
"Sud-Bandama","Divo",61457,48204,109661,3263,112924,143809,1657
"Sud-Bandama","Lakota",32318,9948,42266,934,43200,50966,752
"Sud-Comoe","Aboisso",26290,17391,43681,1176,44857,55406,705
"Sud-Comoe","Adiake",12242,8448,20690,590,21280,26529,577
"Sud-Comoe","Grand Bassam",40100,19584,59684,968,60652,72748,745
"Vallee du Bandama","Beoumi",7714,19058,26772,929,27701,38909,558
"Vallee du Bandama","Bouake",22845,136943,159788,2662,162450,208281,2851
"Vallee du Bandama","Dabakala",1803,34398,36201,594,36795,42333,616
"Vallee du Bandama","Katiola",6079,38416,44495,1793,46288,59957,1179
"Vallee du Bandama","Sakassou",3348,15656,19004,466,19470,27072,412
"Worodougou","Mankono",3261,49438,52699,892,53591,58251,920
"Worodougou","Seguela",2002,44552,46554,417,46971,52450,723
"Zanzan","Bondoukou",25944,35523,61467,2733,64200,84593,1057
"Zanzan","Bouna",9228,13223,22451,1390,23841,32581,629
"Zanzan","Koun-Fao",14284,10507,24791,961,25752,30929,327
"Zanzan","Nassian",3281,5411,8692,395,9087,12030,175
"Zanzan","Tanda",17376,14214,31590,949,32539,41118,566
