occ,white,ed,exper
"BlueCol",1,14,37
"BlueCol",1,9,4
"BlueCol",1,11,43
"BlueCol",1,12,14
"BlueCol",1,12,9
"BlueCol",1,8,33
"BlueCol",1,13,15
"BlueCol",1,12,12
"BlueCol",1,13,19
"BlueCol",0,8,23
"BlueCol",1,13,26
"BlueCol",1,13,13
"BlueCol",1,12,22
"BlueCol",1,11,4
"Craft",1,12,22
"Craft",1,11,10
"Craft",1,9,21
"Craft",0,6,38
"Craft",1,12,11
"Craft",1,9,47
"Craft",1,13,18
"Craft",1,12,8
"Craft",1,12,13
"Craft",1,12,10
"Craft",1,11,41
"Craft",1,11,49
"Craft",1,13,4
"Craft",1,12,9
"Craft",1,12,33
"Craft",1,12,2
"Craft",1,15,11
"Craft",1,6,56
"Craft",1,13,31
"Craft",1,14,13
"Craft",1,11,33
"Craft",1,12,41
"Craft",1,12,6
"Craft",1,12,21
"Craft",1,13,25
"Craft",1,15,13
"Craft",1,12,2
"Craft",1,12,23
"Craft",1,12,32
"Craft",1,12,46
"Craft",1,12,13
"Craft",1,12,29
"Craft",1,12,30
"Craft",1,10,50
"Craft",1,10,32
"Craft",1,12,29
"Craft",0,16,9
"Craft",1,8,49
"Craft",0,14,9
"Craft",1,14,41
"Craft",1,12,9
"Craft",1,11,5
"Craft",1,12,17
"Craft",1,11,9
"Craft",1,12,30
"Craft",0,7,29
"Craft",1,14,9
"Craft",1,12,37
"Craft",0,7,44
"Craft",1,12,22
"Craft",1,12,26
"Craft",1,12,10
"Craft",1,13,33
"Craft",1,8,41
"Craft",1,12,39
"Craft",0,12,29
"Craft",1,14,38
"Craft",0,12,12
"Craft",0,12,9
"Craft",1,14,10
"Craft",0,16,9
"Craft",1,12,20
"Craft",1,11,9
"Craft",1,14,41
"Craft",1,14,6
"Craft",1,12,10
"Craft",0,14,11
"Craft",1,12,21
"Craft",1,13,20
"Craft",1,14,31
"Craft",1,16,4
"Craft",1,13,12
"Craft",1,14,17
"Craft",1,6,40
"Craft",1,12,53
"Craft",1,14,35
"Craft",1,14,12
"Craft",1,15,13
"Craft",1,8,48
"Craft",1,12,23
"Craft",1,12,11
"Craft",1,12,9
"Craft",1,12,9
"Craft",1,12,4
"WhiteCol",1,16,34
"WhiteCol",1,12,12
"WhiteCol",0,13,21
"WhiteCol",1,15,12
"WhiteCol",1,12,17
"WhiteCol",1,12,21
"WhiteCol",1,12,20
"WhiteCol",0,12,35
"WhiteCol",1,15,44
"WhiteCol",1,16,6
"WhiteCol",1,14,5
"WhiteCol",1,11,42
"WhiteCol",1,12,34
"WhiteCol",1,16,37
"WhiteCol",1,13,19
"WhiteCol",1,12,32
"WhiteCol",1,12,25
"WhiteCol",1,12,19
"WhiteCol",1,12,50
"WhiteCol",1,12,6
"WhiteCol",1,12,49
"WhiteCol",1,11,3
"WhiteCol",1,18,49
"WhiteCol",1,15,39
"WhiteCol",1,15,20
"WhiteCol",1,12,10
"WhiteCol",1,12,5
"WhiteCol",1,13,10
"WhiteCol",1,16,30
"WhiteCol",1,15,31
"WhiteCol",1,12,9
"WhiteCol",1,12,8
"WhiteCol",1,13,49
"WhiteCol",1,16,11
"WhiteCol",1,12,2
"WhiteCol",1,12,6
"WhiteCol",1,10,12
"WhiteCol",1,17,5
"WhiteCol",1,12,3
"WhiteCol",1,16,6
"WhiteCol",1,8,38
"Prof",1,16,9
"Prof",1,16,10
"Prof",1,14,37
"Prof",1,14,13
"Prof",1,13,11
"Prof",0,16,21
"Prof",1,16,4
"Prof",1,16,2
"Prof",1,16,6
"Prof",1,17,13
"Prof",1,16,13
"Prof",1,16,18
"Prof",1,14,44
"Prof",1,16,9
"Prof",1,16,38
"Prof",1,14,25
"Prof",1,13,32
"Prof",1,17,18
"Prof",1,19,22
"Prof",1,12,20
"Prof",1,18,11
"Prof",1,16,9
"Prof",1,14,14
"Prof",1,15,2
"Prof",1,14,8
"Prof",0,12,26
"Prof",1,15,10
"Prof",1,12,8
"Prof",1,16,25
"Prof",1,16,8
"Prof",1,14,20
"Prof",1,12,11
"Prof",1,20,23
"Prof",1,19,25
"Prof",1,13,31
"Prof",1,16,2
"Prof",1,14,25
"Prof",1,16,3
"Prof",0,19,16
"Prof",1,14,6
"Prof",1,19,17
"Prof",1,15,23
"Prof",1,14,16
"Prof",1,13,19
"Prof",1,14,9
"Prof",1,19,14
"Prof",1,14,45
"Prof",1,16,17
"Prof",1,13,42
"Prof",1,12,15
"Prof",1,12,17
"Prof",1,16,8
"Prof",1,17,15
"Prof",1,18,37
"Prof",1,16,33
"Prof",1,11,16
"Prof",1,18,13
"Prof",1,15,44
"Prof",1,16,28
"Prof",1,11,41
"Prof",1,16,25
"Prof",1,12,66
"Prof",1,12,31
"Prof",1,20,25
"Prof",1,17,17
"Prof",1,16,23
"Prof",1,17,34
"Prof",1,16,21
"Prof",1,15,4
"Prof",1,8,41
"Prof",1,12,8
"Prof",1,19,2
"Prof",1,16,20
"Prof",1,15,38
"Prof",0,16,23
"Prof",1,18,31
"Prof",1,20,19
"Prof",1,20,4
"Prof",0,19,29
"Prof",0,12,47
"Prof",1,20,27
"Prof",1,16,11
"Prof",1,13,24
"Prof",1,14,12
"Prof",1,19,14
"Prof",1,16,22
"Prof",1,18,11
"Prof",1,16,16
"Prof",1,19,18
"Prof",1,13,17
"Prof",1,13,41
"Prof",1,16,6
"Prof",1,16,3
"Prof",1,19,6
"Prof",1,18,36
"Prof",1,12,3
"Prof",1,18,6
"Prof",1,13,6
"Prof",1,17,9
"Prof",1,16,6
"Prof",1,19,14
"Prof",1,19,7
"Prof",0,19,11
"Prof",1,14,14
"Prof",1,16,13
"Prof",1,15,24
"Prof",1,18,7
"Prof",1,13,19
"Prof",1,12,43
"Prof",1,12,31
"Prof",1,7,39
"Prof",1,16,12
