id,eye,hair
333,Brown,Brown
334,Blue,Black
335,Brown,Brown
336,Brown,Brown
337,Brown,Black
338,Other,Black
339,Brown,Brown
340,Brown,Black
341,Brown,Brown
342,Blue,Black
343,Blue,Brown
344,Brown,Black
345,Brown,Blonde
346,Brown,Black
347,Brown,Brown
348,Brown,Blonde
349,Brown,Brown
350,Brown,Black
351,Brown,Brown
352,Blue,Brown
353,Brown,Brown
354,Brown,Brown
355,Other,Black
356,Other,Brown
357,Other,Black
358,Brown,Black
359,Blue,Black
360,Other,Brown
361,Blue,Brown
362,Brown,Brown
363,Brown,Brown
364,Other,Black
365,Other,Brown
366,Brown,Black
367,Blue,Blonde
368,Brown,Blonde
369,Blue,Brown
370,Other,Brown
371,Blue,Brown
372,Other,Brown
373,Brown,Brown
374,Other,Black
375,Other,Black
376,Brown,Black
377,Brown,Brown
378,Other,Blonde
379,Blue,Brown
380,Brown,Brown
381,Brown,Black
382,Brown,Black
383,Brown,Brown
384,Brown,Brown
385,Blue,Black
386,Blue,Brown
387,Blue,Black
388,Blue,Brown
389,Brown,Brown
390,Blue,Brown
391,Brown,Black
392,Other,Black
393,Blue,Brown
394,Brown,Black
395,Brown,Brown
396,Blue,Black
397,Other,Blonde
398,Other,Black
399,Brown,Black
400,Blue,Brown
401,Other,Black
402,Other,Black
403,Blue,Blonde
404,Brown,Black
405,Brown,Brown
406,Blue,Brown
407,Blue,Blonde
408,Other,Brown
409,Brown,Brown
410,Blue,Brown
411,Brown,Black
412,Brown,Brown
413,Blue,Black
414,Blue,Brown
415,Brown,Brown
416,Blue,Black
417,Brown,Black
418,Other,Brown
419,Brown,Brown
420,Brown,Blonde
421,Other,Black
422,Brown,Black
423,Blue,Brown
424,Blue,Brown
425,Brown,Brown
426,Brown,Brown
427,Brown,Brown
428,Other,Black
429,Other,Brown
430,Brown,Black
431,Blue,Brown
432,Blue,Brown
433,Blue,Brown
434,Blue,Brown
435,Blue,Brown
436,Brown,Brown
437,Blue,Brown
438,Brown,Brown
439,Brown,Brown
440,Brown,Brown
441,Brown,Black
442,Brown,Brown
443,Other,Brown
444,Brown,Black
445,Brown,Black
446,Blue,Brown
447,Other,Blonde
448,Brown,Brown
449,Blue,Brown
450,Brown,Black
451,Other,Brown
452,Brown,Black
453,Blue,Brown
454,Blue,Brown
455,Brown,Blonde
456,Brown,Brown
457,Blue,Brown
458,Brown,Brown
459,Brown,Brown
460,Brown,Black
461,Blue,Black
462,Brown,Blonde
463,Blue,Blonde
464,Blue,Brown
465,Other,Brown
466,Other,Brown
467,Other,Blonde
468,Brown,Brown
469,Brown,Brown
470,Brown,Black
471,Blue,Brown
472,Blue,Brown
473,Blue,Blonde
474,Other,Brown
475,Brown,Black
476,Brown,Black
477,Other,Brown
478,Brown,Black
479,Brown,Brown
480,Brown,Brown
481,Brown,Brown
482,Brown,Black
483,Blue,Black
484,Brown,Black
485,Blue,Brown
486,Brown,Brown
487,Other,Black
488,Blue,Black
489,Blue,Brown
490,Brown,Black
491,Other,Blonde
492,Blue,Brown
493,Blue,Blonde
494,Other,Brown
495,Blue,Brown
496,Brown,Black
497,Blue,Black
498,Brown,Brown
499,Other,Brown
500,Brown,Brown
